method,signal,time,fs,throughput,usr,sys,irq,cpu,wifi
bbr,-60.0,0,1000000,120,,,,,ac
bbr,-60.0,0,1000000,146,,,,,ac
bbr,-60.0,0,1000000,104,,,,,ac
bbr,-60.0,0,1000000,130,,,,,ac
bbr,-60.0,0,1000000,146,,,,,ac
bbr,-60.0,0,1000000,135,,,,,ac
bbr,-60.0,0,1000000,141,,,,,ac
bbr,-60.0,0,1000000,141,,,,,ac
bbr,-60.0,0,1000000,146,,,,,ac
bbr,-60.0,0,1000000,151,,,,,ac
bbr,-60.0,0,1000000,120,,,,,ac
bbr,-60.0,0,1000000,130,,,,,ac
bbr,-60.0,0,1000000,104,,,,,ac
bbr,-60.0,0,1000000,141,,,,,ac
bbr,-60.0,0,1000000,161,,,,,ac
bbr,-60.0,0,1000000,151,,,,,ac
bbr,-60.0,0,1000000,151,,,,,ac
bbr,-60.0,0,1000000,146,,,,,ac
bbr,-60.0,0,1000000,90.,,,,,ac
bbr,-60.0,0,1000000,156,,,,,ac
bbr,-60.0,0,1000000,172,,,,,ac
bbr,-60.0,0,1000000,172,,,,,ac
bbr,-60.0,0,1000000,161,,,,,ac
quic,-51.0,67.719,1000000,115.366,625,3921,1416,5962,ac
quic,-51.0,84.816,1000000,92.111,948,4728,2160,7836,ac
quic,-52.0,130.536,1000000,59.849,1086,5505,3275,9866,ac
quic,-53.0,135.407,1000000,57.696,973,5867,3893,10733,ac
quic,-53.0,86.445,1000000,90.375,898,4774,2283,7955,ac
quic,-54.0,180.143,1000000,43.368,1372,6764,4611,12747,ac
quic,-55.0,211.736,1000000,36.897,1143,5229,4054,10426,ac
quic,-55.0,218.453,1000000,35.763,1520,7106,5153,13779,ac
quic,-56.0,103.59,1000000,75.418,801,4964,2777,8542,ac
quic,-56.0,82.93,1000000,94.206,801,4406,2183,7390,ac
quic,-56.0,91.991,1000000,84.927,707,4294,2282,7283,ac
quic,-57.0,80.107,1000000,97.526,676,4276,1915,6867,ac
quic,-57.0,97.153,1000000,80.414,953,5044,2733,8730,ac
quic,-58.0,192.984,1000000,40.483,1439,6675,4656,12770,ac
quic,-58.0,215.241,1000000,36.297,1523,7038,5200,13761,ac
quic,-58.0,59.973,1000000,130.267,564,3576,1207,5347,ac
quic,-59.0,122.144,1000000,63.961,1175,5387,3241,9803,ac
quic,-39.0,26.496,1000000,294.856,422,1765,695,2882,ac
quic,-40.0,30.596,1000000,255.344,355,2212,536,3103,ac
quic,-35.0,25.809,1000000,302.704,433,1742,703,2878,ac
quic,-40.0,31.466,1000000,248.284,369,2233,586,3188,ac
quic,-40.0,26.209,1000000,298.085,422,1856,686,2964,ac
quic,-38.0,30.306,1000000,257.787,382,2205,537,3124,ac
quic,-33.0,27.302,1000000,286.151,417,1978,697,3092,ac
quic,-38.0,28.211,1000000,276.931,364,2030,650,3044,ac
quic,-37.0,25.395,1000000,307.639,397,1899,697,2993,ac
quic,-37.0,26.614,1000000,293.549,330,1924,680,2934,ac
quic,-37.0,32.099,1000000,243.388,349,2238,628,3215,ac
quic,-37.0,30.586,1000000,255.427,371,2184,610,3165,ac
quic,-37.0,31.25,1000000,250.0,360,2286,533,3179,ac
quic,-36.0,32.184,1000000,242.745,354,2283,629,3266,ac
quic,-37.0,30.098,1000000,259.569,360,2179,599,3138,ac
quic,-38.0,26.707,1000000,292.526,434,1804,686,2924,ac
quic,-36.0,28.656,1000000,272.631,363,2033,638,3034,ac
quic,-37.0,35.412,1000000,220.617,379,2438,518,3335,ac
quic,-39.0,30.45,1000000,256.568,358,2201,574,3133,ac
quic,-44.0,25.547,1000000,305.809,309,1965,683,2957,ac
